idx,key,value,type
1,verb1,did,
,verb2,does,
,subj,The teacher,
,vp1,met the Illinois governor at a Greek restaurant,
,vp2,finds humor in the worst situations,
,prn,he,
,name1,Erika,
,name2,Cameron,
,vp1_cont,Which restaurant was it?,lexical overlap
,,I didn't know the governor likes Greek food.,lexical overlap
,,Where was the restaurant located?,lexical overlap
,,"Was it only the governor, or were there other people as well?",lexical overlap
,,Is any of them Greek?,lexical overlap
,,Did they take a picture together?,situational inference
,,I wonder if they talked about educational policies.,situational inference
,,I thought the two were incompatible.,situational inference
,,I can see that the election season is coming up.,situational inference
,,Do you know if it was a coincidence?,situational inference
,,When did the meeting happen?,event association
,,Why did they meet up in the first place?,event association
,,How did the meeting go?,event association
,,Remind me what kind of meeting this was.,event association
,,"That's cool, imagine bumping into a public figure!",event association
,vp2_cont,That kind of humor help us survive in this rough world.,lexical overlap
,,Do you like humorous people?,lexical overlap
,,"Haha, to be fair, doesn't he find humor in any situations?",lexical overlap
,,"Humor is difficult to find when you're down, that's quite impressive.",lexical overlap
,,He must have lots of humorous friends.,lexical overlap
,,No wonder why people like to be around that teacher!,situational inference
,,Do you know if spending lots of time with students would have helped?,situational inference
,,I bet that makes the classroom environment much better!,situational inference
,,Do you think that kind of personality just comes naturally?,situational inference
,,How do you think he keeps that attitude?,situational inference
,,That's a really good attitude to keep.,event association
,,Do you to have that kind of positive mindset?,event association
,,I would rather be grumpy.,event association
,,"Well, I value people expressing anger than just trying to be positive.",event association
,,That's the mindset we need when there are so many crazy things happening in this world.,event association
2,verb1,did,
,verb2,does,
,subj,The reporter,
,vp1,opened a new bank account today,
,vp2,volunteers regularly at a local church,
,prn,she,
,name1,Adrian,
,name2,Autumn,
,vp1_cont,At which bank?,lexical overlap
,,She opened another account?,lexical overlap
,,I don't know why people get new bank accounts.,lexical overlap
,,Why did it have to be today?,lexical overlap
,,Opening a new bank accounts sounds like a lot of work.,lexical overlap
,,She was supposed to go to the City Hall for an interview!,situational inference
,,I believe that was part of her work writing that news article.,situational inference
,,"Do you know if it was for work, or for her personal use?",situational inference
,,I hope she remembers the passcode this time.,situational inference
,,"No way, she doesn't even know how to unlock her phone.",situational inference
,,"I heard that she bought some stocks, too.",event association
,,Do you think she's trying to save more money?,event association
,,I wonder how long that process took.,event association
,,Was there a good deal on the interest rate?,event association
,,Which branch did she go to?,event association
,vp2_cont,"She goes to other churches, too.",lexical overlap
,,I wonder why specifically at a local church she's doing the volunteering work.,lexical overlap
,,When did she start to volunteer?,lexical overlap
,,Are you sure she does it regularly?,lexical overlap
,,How do you know if she volunteers at a local church?,lexical overlap
,,I find that silly because she needs to work on being a better mom.,situational inference
,,Is that to get a good reputation by her neighbors?,situational inference
,,That is very thoughtful for her to spare her free time for that activity.,situational inference
,,I bet that would also give her some ideas to write.,situational inference
,,"Huh, I thought she was a cold-blooded lady.",situational inference
,,"Didn't her mother make donations, too?",event association
,,"She also works at an orphanage, I believe.",event association
,,Doesn't she also run an adoption campaign?,event association
,,That's great because I think it's important to give back to the community.,event association
,,That's a good way to keep work-life balance.,event association
3,verb1,did,
,verb2,does,
,subj,The professor,
,vp1,missed a train this morning,
,vp2,drinks two bottles of wine every day,
,prn,she,
,name1,Alexander,
,name2,Anthony,
,vp1_cont,How did she miss the train?,lexical overlap
,,Missing a train is definitely not a good start!,lexical overlap
,,"Too bad, trains in Chicago can be quite unpredictable.",lexical overlap
,,Well it's not just this morning.,lexical overlap
,,The same thing happened to me this morning.,lexical overlap
,,Did she ever make it to the lab?,situational inference
,,I thought she drives to campus.,situational inference
,,So how did she come to office?,situational inference
,,Did she oversleep or what?,situational inference
,,I hope she didn't have any important meetings.,situational inference
,,Was there a delay?,event association
,,I wonder she had to wait for the next one for a long time.,event association
,,I bet she was rushing to the platform.,event association
,,Did she catch the next one?,event association
,,I hope it didn't mess up the schedule too much.,event association
,vp2_cont,That's a lot of wine.,lexical overlap
,,Well she used to have three bottles a day six months ago.,lexical overlap
,,"Does she drink white wine, or red wine?",lexical overlap
,,Every day?,lexical overlap
,,Two bottles?,lexical overlap
,,She should see a therapist.,situational inference
,,I wonder if that's a cry for help.,situational inference
,,Is she French?,situational inference
,,Maybe that's the secret for a productive life.,situational inference
,,How is she so healthy?,situational inference
,,But she already drinks two cans of beer every night.,event association
,,I somehow thought that she was allergic to alcohol.,event association
,,I should bring some cheese for her then.,event association
,,I can't even finish a glass.,event association
,,It sounds like she has an unhealthy drinking habit.,event association
4,verb1,did,
,verb2,does,
,subj,The sculptor,
,vp1,had a bad dream,
,vp2,has a pianist friend,
,prn,he,
,name1,Owen,
,name2,John,
,vp1_cont,Having a bad dream is not new to him.,lexical overlap
,,He has so many dreams in general.,lexical overlap
,,"What was the dream about, do you know?",lexical overlap
,,He needs a dream catcher.,lexical overlap
,,He had a bad dream?,lexical overlap
,,He needs a hug.,situational inference
,,Is that why he looks so tired today?,situational inference
,,That can't be a good excuse why he couldn't finish his work.,situational inference
,,No wonder he has dark circles today.,situational inference
,,"Oh yes, I heard him shout and scream last night.",situational inference
,,The horror movie he watched last night might be the reason.,event association
,,I'm not surprised because he lives in a very haunted apartment.,event association
,,It would be a reflection of his subconsciousness.,event association
,,Maybe he's stressed.,event association
,,Is he worried that his exhibition might getting canceled?,event association
,vp2_cont,"As far as I know, he has multiple pianist friends.",lexical overlap
,,I believe that pianist is more than a friend.,lexical overlap
,,"If we are talking about the same person, they aren't friends any more.",lexical overlap
,,He has lots of musician friends.,lexical overlap
,,It makes sense because his brother is also a pianist.,lexical overlap
,,I can imagine them having a mutual interest.,situational inference
,,I wonder what they talk about.,situational inference
,,Do you know them well?,situational inference
,,What a creative duo!,situational inference
,,They must get inspired by each other.,situational inference
,,They should work on an art project together!,event association
,,I heard they went to the same art school.,event association
,,How did they first know each other?,event association
,,A combination of art and music sounds fantastic.,event association
,,I know because they're actually launching a gallery together.,event association
5,verb1,did,
,verb2,has,
,subj,The firefighter,
,vp1,painted the house on Thanksgiving,
,vp2,has been keeping a diary for fifteen years,
,prn,she,
,name1,Christina,
,name2,Roberto,
,vp1_cont,"No, it wasn't on Thanksgiving.",lexical overlap
,,I don't think it was the house.,lexical overlap
,,Why would a firefighter paint a house?,lexical overlap
,,On Thanksgiving?,lexical overlap
,,Whose house was this?,lexical overlap
,,Was that part of the community service she had to do?,situational inference
,,That's why she was looking for a big brush the other day!,situational inference
,,Do you know if she had her uniform on while getting that done?,situational inference
,,That sounds like a productive way to spend a day.,situational inference
,,Did anyone recognize the change?,situational inference
,,That's an interesting way to spend the holiday.,event association
,,Is rennovating part of a firefighter's job?,event association
,,Is that a holiday ritual for her?,event association
,,In what color?,event association
,,I heard she did that on Christmas as well.,event association
,vp2_cont,Fifteen years is a lot.,lexical overlap
,,How did she get motivated to keep a diary for so long?,lexical overlap
,,i still don't understand why people keep a diary.,lexical overlap
,,"Hey, my neighbor has been doing that for fifteen years, too!",lexical overlap
,,"That's admirable, I don't even know how to spell a diary.",lexical overlap
,,She should publish it!,situational inference
,,Do you think she can make the content public?,situational inference
,,That kind of discipline says a lot about her character.,situational inference
,,I really admire people who do things consistently.,situational inference
,,She might become a writer one day.,situational inference
,,That's a lot of recording of her personal history.,event association
,,That single notebook must contains lots of different experiences.,event association
,,I'm curious what she writes about.,event association
,,Journaling is quite therapeutic.,event association
,,I bet she has lots of stories to write.,event association
6,verb1,did,
,verb2,has,
,subj,The researcher,
,vp1,performed a piece by Mozart,
,vp2,has undergone chemotherapy,
,prn,he,
,name1,Veronica,
,name2,Harrison,
,vp1_cont,Which piece by Mozart did he perform?,lexical overlap
,,I'm a big fan of Mozart!,lexical overlap
,,I heard last time he performed at a big concert hall.,lexical overlap
,,"It wasn't just a piece, it was multiple pieces of Mozart!",lexical overlap
,,"What do you mean performed, he killed it!",lexical overlap
,,He must be an intellectual with lots of talent.,situational inference
,,How does he keep that work life balance?,situational inference
,,I thought he was tone deaf.,situational inference
,,I'm not surprised because his parents are both famous conductors.,situational inference
,,"Good for him, but he and I seem to have a different taste.",situational inference
,,"Cool, did he have any training in classical music?",event association
,,Is his research related to music in any aspect?,event association
,,Was it a solo performance or part of an ensemble?,event association
,,Which instrument did he play?,event association
,,It was actually his entire research group that prepared for the concert.,event association
,vp2_cont,Chemotherapy can be so challenging.,lexical overlap
,,"It can be a long road, but chemotherapy can make people stronger.",lexical overlap
,,I hope he's also watching his diet along with the chemotheraphy.,lexical overlap
,,How many chemotherapy sessions does he have to go through?,lexical overlap
,,Is chemotherapy expensive?,lexical overlap
,,How is he doing now?,situational inference
,,Are there ways that we can help him?,situational inference
,,That's why he's lost so much weight the past few months.,situational inference
,,Tell him that I'm here if he needs anyone who can talk to.,situational inference
,,I hope he has a strong support system.,situational inference
,,I hope he recovers soon.,event association
,,It's admirable that he's going through that treatment while juggling lots of family issues.,event association
,,What kind of cancer is he being treated for?,event association
,,Is he responding well to the treatment?,event association
,,I hope there aren't any side effects.,event association
7,verb1,did,
,verb2,has,
,subj,The violinist,
,vp1,bought an ice cream cake for dessert,
,vp2,has lost a child,
,prn,she,
,name1,Isabel,
,name2,Sebastian,
,vp1_cont,Is that her favorite dessert?,lexical overlap
,,"Is that an ice cream, or a cake?",lexical overlap
,,"I'm not surprised, she loves dessert.",lexical overlap
,,"I've never had an ice cream cake, what is it like?",lexical overlap
,,Did she just get one cake?,lexical overlap
,,Was it for a celebration?,situational inference
,,I hope it didn't melt on her way back!,situational inference
,,That sounds like a good treat after a long practice session.,situational inference
,,I thought she said she was on a diet.,situational inference
,,"Right, last week was her seventh wedding anniversary.",situational inference
,,I bet it was delicious!,event association
,,Do you know much it was?,event association
,,I bet she got a strawberry flavor.,event association
,,I wonder if she got it from that new bakery across the street.,event association
,,I thought she baked it.,event association
,vp2_cont,Are you saying that the child is missing?,lexical overlap
,,She lost her child?,lexical overlap
,,How did she lose her child?,lexical overlap
,,Losing a child is unimaginable.,lexical overlap
,,Where was the child last seen?,lexical overlap
,,This is such a tragedy.,situational inference
,,I don't even know what to say.,situational inference
,,I hope she's seeing a counselor.,situational inference
,,She should go through this alone.,situational inference
,,That's heartbreaking.,situational inference
,,Loss like that is so difficult to handle.,event association
,,"Her sister passed away just a month ago, too.",event association
,,Grief can manifest in so many ways.,event association
,,How's the rest of the family doing?,event association
,,Did she have ongoing medical issues?,event association
8,verb1,did,
,verb2,has,
,subj,The nun,
,vp1,used to get high grades in high school,
,vp2,has just turned 40,
,prn,she,
,name1,Meghan,
,name2,Luke,
,vp1_cont,"It wasn't just in high school, she did great in middle school, too.",lexical overlap
,,How high are we talking about?,lexical overlap
,,Was it just in high school?,lexical overlap
,,And she gets low grades?,lexical overlap
,,"Well, the one who used to get high grades was her sister, not her.",lexical overlap
,,She must have worked really hard!,situational inference
,,It sounds like she's always been disciplined.,situational inference
,,What made her become a nun after that?,situational inference
,,Is that why she came to have a strong faith in divine power?,situational inference
,,That makes sense--being a nun requires a lot of dedication.,situational inference
,,What subjects was she good at?,event association
,,Do you know if she had a favorite subject?,event association
,,Did she go to a religious school?,event association
,,I wonder if her education had an influence on her faith.,event association
,,"High grades, holy habits.",event association
,vp2_cont,How does she feel about turning 40?,lexical overlap
,,"Forty is not an easy age, I can tell you that.",lexical overlap
,,"Well, they say life begins at 40!",lexical overlap
,,What does turning 40 mean for her faith journey?,lexical overlap
,,I guess 40 is the new holy.,lexical overlap
,,"She looks so young, though!",situational inference
,,How does her community celebrate milestones like this?,situational inference
,,She must have so many stories and experiences by now.,situational inference
,,"Does this mean she's now officially a ""seasoned"" nun?",situational inference
,,Her mannerism came off as those of someone who's gone through more than that.,situational inference
,,"I didn't know that, happy birthday to her!",event association
,,She's in the prime of her life.,event association
,,What has she accomplished by this point in her life?,event association
,,I bet that's turning into a new chapter in her life.,event association
,,I hope she's having a joyful celebration!,event association
9,verb1,did,
,verb2,is,
,subj,The analyst,
,vp1,forgot to do the laundry,
,vp2,is a U.S. immigrant from Vietnam,
,prn,he,
,name1,Jonah,
,name2,Aaron,
,vp1_cont,As if it's his first time to forget to do the laundry.,lexical overlap
,,Does he ever do the laundry?,lexical overlap
,,"I get it, laundry piles up fast.",lexical overlap
,,That's not the only thing he forgot to do.,lexical overlap
,,"Doing the laundry is too boring for him, huh.",lexical overlap
,,"Does he not know how to plan, even as an analyst?",situational inference
,,"That's understandable, the market was skyrocketing yesterday.",situational inference
,,"It's okay, he seemed quite distracted these days.",situational inference
,,Did he get too busy with work?,situational inference
,,He seemed overwhelmed with work-related things.,situational inference
,,He tends to overlook doing daily chores.,event association
,,I hope he has other stuff to wear.,event association
,,We should get a washing machine at the office for him.,event association
,,He didn't have detergent in the first place.,event association
,,I guess having clean clothes wasn't in his priority.,event association
,vp2_cont,When did he move to the U.S.?,lexical overlap
,,I didn't know he was Vietnamese.,lexical overlap
,,"Did his family immigrated to the U.S., too?",lexical overlap
,,That's why he was tuned into all the immigration laws.,lexical overlap
,,That's why he speaks Vietnamese so fluently.,lexical overlap
,,It's great of have people with a rich cultural background.,situational inference
,,Diversity in the workplace is always a plus.,situational inference
,,I thought he was born here because he doesn't have an accent!,situational inference
,,Maybe that's why he has a different perspective than anybody else.,situational inference
,,American dream!,situational inference
,,Did he moved for work?,event association
,,"Interesting upbringing, but it doesn't surprise me.",event association
,,What kind of visa status does he have?,event association
,,Does he have a green card?,event association
,,He has a good combination of skills and experiences!,event association
10,verb1,did,is
,verb2,is,
,subj,The soccer player,
,vp1,hired a teenager to mow the lawn,
,vp2,is sitting on the blue couch,
,prn,he,
,name1,Trenton,
,name2,Nicholas,
,vp1_cont,Was he too busy to handle the lawn himself?,lexical overlap
,,Why a teenager?,lexical overlap
,,Did he know the teenager before hiring them?,lexical overlap
,,I guess he was trying to the teenager a chance to earn some money.,lexical overlap
,,I didn’t know the soccer player needed someone to mow the lawn!,lexical overlap
,,That makes sense given how busy he is.,situational inference
,,Do they live nearby?,situational inference
,,How did they make that arrangement in the first place?,situational inference
,,Was this part of a campaign for his sponsorship?,situational inference
,,I hope that doesn't go against the law.,situational inference
,,How did he find someone to do that chore?,event association
,,"I already knew about that, but who exactly ended up doing the work?",event association
,,That's one way to handle chores.,event association
,,Do you know how much he's paying that kid?,event association
,,It's nice to offer young people opportunities.,event association
,vp2_cont,Is there a reason why he prefers to sit on a blue couch?,lexical overlap
,,"Well, it's actually a green couch.",lexical overlap
,,"Not sitting, he just lied down.",lexical overlap
,,Looks like someone's a big fan of couches.,lexical overlap
,,"His hair, shirts, pants, and everything are blue.",lexical overlap
,,He looks quite relaxed in that setting.,situational inference
,,Is this a break from training?,situational inference
,,"Apparently, it's his pre-game ritual.",situational inference
,,Is he trying to take a short nap?,situational inference
,,It must be a moment of relaxation.,situational inference
,,I guess his legs were tired.,event association
,,Five minutes ago he was lounging in a hammock.,event association
,,His coach is also resting on the bench.,event association
,,Yes he's chilling there even sipping coffee.,event association
,,"I'm not surprised because he said his favorite activity is lying on a beanbag, reading books.",event association
11,verb1,did,
,verb2,is,
,subj,The customer,
,vp1,suggested a good cleaning company to Ashley,
,vp2,is reliably calm under pressure,
,prn,she,
,name1,Zachary,
,name2,Alondra,
,vp1_cont,I thought Ashley was the real expert in cleaning.,lexical overlap
,,What do you mean by a good cleaning company?,lexical overlap
,,I didn't even know there are companies for cleaning.,lexical overlap
,,Last time she suggested a good catering company.,lexical overlap
,,Do you think Ashley will take that suggestion?,lexical overlap
,,It's nice that someone was kind enough to talk to her.,situational inference
,,Word-of-mouth advice often turns out to be the most reliable.,situational inference
,,I'm not surprised because that lady talks to everybody in the department store.,situational inference
,,Now someone's going to tidy up their house.,situational inference
,,"Of course, she's a walking consultant.",situational inference
,,I wonder if she'll take the advice and reach out.,event association
,,I think it was a good recommendation.,event association
,,It was a timely suggestion since Ashley needed some tidying up.,event association
,,I hope it's a reliable place.,event association
,,That's all she did?,event association
,vp2_cont,"Yes, always so calm.",lexical overlap
,,"Indeed, her calmness is truly impressive.",lexical overlap
,,"I know her sister, and she is calm, too.",lexical overlap
,,Staying calm under pressure is second. nature to her.,lexical overlap
,,Her calm demeanor makes the clerk's job so much eaiser.,lexical overlap
,,Maybe it's because she's been practicing mediation.,situational inference
,,It makes sense that she worked as an ER nurse for five years.,situational inference
,,But her partner is the exact opposite of that.,situational inference
,,No wonder she spent years managing high-stakes negotiations.,situational inference
,,"Interestingly, her sibling is nothing like her in that regard.",situational inference
,,"Yes, even in the most chaotic situations.",event association
,,"She went through a lot in life, and it shaped her resilience and composure.",event association
,,It isn't just a natural trait; it's a testament to her perserverence.,event association
,,"Exactly, she always stays composed.",event association
,,"Right, she remains steady no matter the circumstances.",event association
12,verb1,did,
,verb2,is,
,subj,The programmer,
,vp1,used to drink three cups of coffee every day,
,vp2,is about to fall asleep,
,prn,she,
,name1,Allison,
,name2,Lindsay,
,vp1_cont,Now she's cut back to just one cup of coffee per day.,lexical overlap
,,"Three cups of coffee sounds like a lot, but a lot of programmers do that.",lexical overlap
,,I wonder if she still drink that much coffee now.,lexical overlap
,,I hope she didn't replace coffee with energy drinks.,lexical overlap
,,Three cups of coffee a day sounds like a true programmer habit.,lexical overlap
,,I'm guessing she was working on some intense projects back then.,situational inference
,,I bet her schedule was packed with non-stop tasks.,situational inference
,,I wouldn't be surprised if she was on back-to-back calls.,situational inference
,,That kind of routine suggests a lot of stress and deadlines.,situational inference
,,That sounds like a coping mechanism during her exam season in college.,situational inference
,,"She would drink lots of green tea, too.",event association
,,"Some people say it was bad habit, but I don't quite agree.",event association
,,I think she developed that habit during her startup phase.,event association
,,It sounds like her routine while preparing for that coding competition.,event association
,,She used to own a fancy espresso machine as well.,event association
,vp2_cont,"She probably had little sleep, and it's becoming hard to focus.",lexical overlap
,,She's just any seconds away from falling asleep.,lexical overlap
,,Are you sure she's not pretending to be asleep?,lexical overlap
,,"Well, she looks like she's going to fall asleep, but she won't actually sleep.",lexical overlap
,,You should keep her from falling asleep!,lexical overlap
,,"The work has been piling up, and now she's paying the price.",situational inference
,,Her mind is probably clouded after too many hours of work.,situational inference
,,"With all the debugging, she's probably worn out by now.",situational inference
,,"It's the end of a long coding marathon, and fatigue has set in.",situational inference
,,"After that big push to finalize the feature, she's running on empty.",situational inference
,,Her body is signaling for rest after such an intense coding session.,event association
,,The project's demands have led her to this point of fatigue.,event association
,,She's probably been immersed in this task for hours without a real break.,event association
,,She's ready to doze off.,event association
,,I can see sheer exhaustion on her face.,event association
13,verb1,did,
,verb2,was,
,subj,The swimmer,
,vp1,forgot to lock the door,
,vp2,was on a diet,
,prn,she,
,name1,Lucas,
,name2,Arianna,
,vp1_cont,How could she forget to lock the door?,lexical overlap
,,The door is wide open now.,lexical overlap
,,"Well, the door was already broken in the first place.",lexical overlap
